caseid,agearr10,age_group,sex,marital_status,number_of_children,alcohol_consumption,smoking_status,stresslevel,source_of_stress,hours_worked,job_satisfication,discrimination_Frequency,ourdoor_activities,living_standard,health_level,personal_relationship_level,apperance_level,stress
115,96,6,1,5,0,3,3,3,2,6,6,6,2,3,5,2,7,A bit stressful
116,3,6,2,1,0,5,3,4,3,6,6,6,1,8,8,8,8,Quite A bit stressful
117,96,6,2,1,0,6,3,2,7,6,6,6,1,10,9,10,10,Not very stressful
118,96,6,1,1,0,6,3,2,6,6,6,6,1,7,5,7,5,Not very stressful
119,96,4,1,1,0,7,3,4,1,3,1,6,2,8,8,8,7,Quite A bit stressful
120,96,7,1,3,0,4,3,2,7,6,6,6,2,8,5,9,10,Not very stressful
121,1,6,2,1,0,5,2,1,96,3,1,6,2,7,9,8,9,Not at all stressful
122,96,5,2,6,0,5,3,3,1,3,2,6,2,8,8,8,8,A bit stressful
123,96,4,2,5,0,7,3,2,97,6,6,6,1,10,4,10,4,Not very stressful
124,96,7,2,5,0,6,3,2,7,6,6,6,1,6,8,9,7,Not very stressful
125,96,6,1,5,0,2,3,1,96,6,6,6,2,8,9,9,8,Not at all stressful
126,96,4,1,1,0,4,1,4,1,4,3,6,2,7,3,9,5,Quite A bit stressful
127,96,5,2,1,0,7,3,1,96,2,1,6,2,9,7,10,10,Not at all stressful
128,3,4,1,6,0,3,3,3,5,3,1,6,2,9,8,4,7,A bit stressful
129,96,5,2,3,0,3,3,2,3,6,6,6,2,7,9,7,6,Not very stressful
130,96,4,2,4,0,4,1,5,3,3,5,6,1,2,2,2,5,Extremely stressful
131,1,6,1,2,0,5,3,2,3,2,2,6,2,10,10,10,9,Not very stressful
132,96,3,1,1,0,3,3,3,1,4,1,6,2,8,6,8,7,A bit stressful
133,96,6,1,1,0,5,3,3,6,6,6,6,2,7,0,6,0,A bit stressful
134,96,4,2,6,0,6,3,5,3,3,2,6,2,8,8,7,5,Extremely stressful
135,96,6,2,5,0,2,3,3,6,6,6,6,2,3,1,0,0,A bit stressful
136,96,3,2,6,0,2,3,4,1,4,2,6,2,7,8,8,8,Quite A bit stressful
137,96,1,1,6,0,6,3,3,4,6,6,6,2,9,9,8,9,A bit stressful
138,96,5,2,1,0,1,3,2,3,3,6,6,2,10,10,10,10,Not very stressful
139,96,3,1,1,0,4,3,3,1,4,1,6,2,7,8,10,8,A bit stressful
140,1,4,2,5,1,5,3,3,3,3,2,6,2,6,8,6,7,A bit stressful
141,96,6,2,3,0,6,3,1,96,6,6,6,2,5,5,7,5,Not at all stressful
142,96,1,1,6,2,7,3,1,96,1,4,6,2,8,8,9,8,Not at all stressful
143,96,5,2,6,0,7,1,3,2,6,6,6,1,3,3,3,5,A bit stressful
144,3,2,2,6,0,4,3,4,7,3,2,1,2,7,6,0,10,Quite A bit stressful
145,96,5,2,5,0,6,3,4,6,6,6,6,1,7,7,10,10,Quite A bit stressful
146,96,5,2,1,0,3,3,2,6,6,6,6,2,10,8,8,8,Not very stressful
147,96,3,1,1,3,2,3,3,1,4,2,6,2,8,7,9,8,A bit stressful
148,96,6,2,1,0,6,1,2,6,6,6,6,1,10,8,10,9,Not very stressful
149,96,3,2,1,0,7,3,3,5,3,1,6,1,7,6,8,6,A bit stressful
150,96,5,2,1,0,7,3,3,5,6,6,6,2,9,5,8,5,A bit stressful
151,96,2,1,2,0,3,3,3,1,3,2,6,1,9,6,8,8,A bit stressful
152,96,3,2,1,2,5,3,3,3,3,2,6,2,8,10,5,5,A bit stressful
153,96,3,2,6,0,5,3,4,2,6,6,6,2,3,7,8,6,Quite A bit stressful
154,96,6,1,1,0,7,3,2,6,6,6,6,2,7,7,9,7,Not very stressful
155,96,3,2,1,1,4,3,3,5,3,6,6,2,7,7,7,8,A bit stressful
156,96,6,1,6,0,3,3,7,97,6,6,6,1,7,7,6,7,Extremely stressful
157,96,5,1,1,0,5,3,2,5,3,1,6,2,9,10,10,9,Not very stressful
158,1,4,1,5,0,5,1,3,2,4,6,6,2,7,8,8,8,A bit stressful
159,98,4,2,1,0,7,3,2,97,9,9,6,2,9,10,10,8,Not very stressful
160,96,6,2,3,0,7,3,1,96,6,6,6,2,10,10,10,9,Not at all stressful
161,96,2,2,1,2,5,3,4,5,6,6,6,2,10,9,10,10,Quite A bit stressful
162,1,3,2,1,0,3,3,3,5,3,2,6,1,7,3,7,3,A bit stressful
163,96,1,1,6,0,5,3,3,7,3,2,6,1,9,9,8,8,A bit stressful
164,96,2,1,1,0,5,1,4,1,3,3,6,2,10,7,7,7,Quite A bit stressful
165,96,1,2,6,0,5,3,2,2,2,3,6,2,10,8,10,9,Not very stressful
166,96,4,2,1,0,3,3,2,3,3,6,6,2,8,7,9,8,Not very stressful
167,96,3,1,6,0,7,3,3,5,3,1,6,2,8,8,7,7,A bit stressful
168,96,7,1,2,0,3,3,1,96,6,6,6,1,10,7,8,8,Not at all stressful
169,96,5,2,6,0,5,3,3,2,3,2,6,2,6,7,6,7,A bit stressful
170,3,7,2,5,0,5,3,3,2,3,6,6,2,7,5,6,8,A bit stressful
171,96,3,2,1,0,2,3,3,5,3,2,6,2,7,3,5,2,A bit stressful
172,1,7,2,3,0,6,3,3,6,6,6,6,1,10,5,10,10,A bit stressful
173,2,5,1,1,0,5,3,5,6,6,6,6,2,6,2,97,4,Extremely stressful
174,2,4,2,5,0,7,3,3,3,1,6,6,1,6,5,5,8,A bit stressful
175,96,3,1,1,2,5,3,5,5,2,6,6,2,8,6,6,7,Extremely stressful
176,96,4,2,1,0,6,3,4,2,6,6,6,1,6,6,7,5,Quite A bit stressful
177,96,7,2,3,0,7,3,1,96,6,6,6,2,8,9,8,10,Not at all stressful
178,96,2,2,6,1,4,1,3,2,3,1,6,2,8,8,10,8,A bit stressful
179,96,7,1,3,0,6,3,7,7,6,6,6,2,5,8,8,8,Extremely stressful
180,96,6,1,1,0,3,3,1,96,2,6,6,2,9,8,8,9,Not at all stressful
181,96,4,2,5,0,5,3,3,2,3,2,6,2,7,6,6,6,A bit stressful
182,1,5,1,5,0,2,3,3,5,1,1,6,2,8,8,7,8,A bit stressful
183,2,7,2,5,0,5,3,2,7,6,6,6,1,9,9,9,10,Not very stressful
184,96,4,1,5,0,6,3,3,1,3,1,6,1,8,4,2,1,A bit stressful
185,96,6,2,1,0,3,3,1,96,6,6,6,2,10,10,10,9,Not at all stressful
186,96,6,2,1,0,3,3,1,96,6,6,6,1,10,7,10,9,Not at all stressful
187,3,6,2,5,0,3,3,4,3,3,1,6,2,7,9,9,9,Quite A bit stressful
188,96,5,2,1,0,2,3,2,3,6,6,6,2,9,9,10,7,Not very stressful
189,96,5,1,5,0,1,1,3,1,4,6,6,1,9,6,8,6,A bit stressful
190,96,5,1,6,0,3,2,3,2,3,6,6,2,7,8,7,8,A bit stressful
191,96,6,2,3,0,6,3,4,1,3,2,6,1,7,8,8,8,Quite A bit stressful
192,3,5,2,6,0,7,3,3,1,6,6,6,1,7,8,6,5,A bit stressful
193,96,7,2,1,0,7,3,1,96,6,6,6,1,5,10,10,8,Not at all stressful
194,96,6,2,5,0,3,3,2,2,6,6,6,2,8,5,8,8,Not very stressful
195,2,1,1,6,1,7,3,4,4,6,6,6,2,10,5,7,10,Quite A bit stressful
196,96,3,2,6,0,6,3,4,1,3,3,6,2,7,4,5,3,Quite A bit stressful
197,96,2,2,2,0,5,3,3,1,2,2,6,2,9,9,8,6,A bit stressful
198,5,6,2,5,0,6,3,2,6,6,6,6,1,8,0,7,8,Not very stressful
199,96,1,2,6,1,7,3,3,4,6,6,6,2,10,10,10,9,A bit stressful
200,96,3,1,1,2,4,3,3,1,4,2,6,2,7,9,9,9,A bit stressful
201,1,5,2,1,0,2,3,3,1,2,1,6,2,9,7,8,7,A bit stressful
202,96,7,1,3,0,5,3,1,96,6,6,6,1,9,9,9,6,Not at all stressful
203,96,3,1,6,0,4,1,2,2,3,1,6,2,7,8,7,7,Not very stressful
204,96,5,1,1,0,1,3,2,1,3,1,6,2,9,9,8,8,Not very stressful
205,96,5,2,1,0,2,3,3,1,2,2,6,2,8,8,8,6,A bit stressful
206,3,3,2,6,0,6,3,2,2,3,1,6,2,8,6,7,7,Not very stressful
207,96,4,2,1,2,2,3,2,3,1,6,6,2,9,7,6,4,Not very stressful
208,96,6,1,2,0,5,3,3,1,3,1,6,2,9,5,9,7,A bit stressful
209,96,2,2,6,0,3,2,3,1,4,2,6,2,7,6,7,8,A bit stressful
210,96,6,1,2,0,5,3,2,3,6,6,6,2,7,8,6,7,Not very stressful
211,96,3,1,2,2,3,3,1,96,3,5,6,2,7,7,8,8,Not at all stressful
212,96,6,2,3,0,7,3,3,2,3,6,6,2,8,8,8,8,A bit stressful
213,96,6,1,3,0,3,3,3,2,6,6,6,2,8,10,7,10,A bit stressful
214,96,5,1,6,0,3,3,3,5,3,2,6,1,8,6,10,5,A bit stressful
215,96,2,2,2,1,3,3,3,3,3,3,6,2,8,10,8,8,A bit stressful
216,96,5,2,3,0,7,3,2,3,6,6,6,2,8,10,8,8,Not very stressful
217,1,6,2,1,0,5,3,3,7,2,1,6,2,8,8,8,7,A bit stressful
218,1,2,2,6,0,6,3,3,5,9,6,6,2,8,8,7,7,A bit stressful
219,2,5,2,1,0,5,3,4,3,3,1,2,2,8,8,7,8,Quite A bit stressful
220,96,6,1,1,0,4,3,3,3,2,1,6,2,7,8,8,7,A bit stressful
221,96,6,2,1,0,3,3,2,3,6,6,6,1,8,8,10,10,Not very stressful
222,2,1,1,6,1,7,3,1,96,6,6,6,2,10,10,10,10,Not at all stressful
223,4,5,1,1,0,4,3,3,1,4,6,6,2,9,9,8,8,A bit stressful
224,96,4,1,4,0,5,1,3,2,4,2,6,9,4,8,3,7,A bit stressful
225,96,4,2,6,0,6,3,3,6,4,6,6,2,9,4,8,9,A bit stressful
226,96,7,2,1,0,1,3,4,3,6,6,6,1,10,8,5,8,Quite A bit stressful
227,96,6,1,2,0,2,3,1,96,1,6,6,1,8,8,8,8,Not at all stressful
228,96,6,2,1,0,7,3,2,3,6,6,6,2,5,10,9,10,Not very stressful
229,96,3,2,6,0,2,3,3,1,3,2,6,2,8,8,5,4,A bit stressful
230,96,3,2,1,2,4,3,4,5,4,2,6,2,8,8,7,8,Quite A bit stressful
231,96,5,2,1,0,6,3,3,2,3,2,6,2,3,6,9,3,A bit stressful
232,96,6,2,1,0,5,3,2,97,3,2,6,2,8,8,10,8,Not very stressful
233,96,6,2,1,0,2,3,1,96,6,6,6,2,10,10,10,10,Not at all stressful
234,96,7,2,3,0,6,2,4,2,6,6,6,1,7,5,0,7,Quite A bit stressful
235,96,3,1,1,2,6,3,2,7,3,2,6,2,7,8,8,8,Not very stressful
236,96,4,1,1,0,1,3,4,1,3,1,6,2,8,8,9,8,Quite A bit stressful
237,96,5,2,1,0,3,3,2,3,3,2,6,2,10,10,10,9,Not very stressful
238,96,5,2,6,0,6,3,3,2,2,6,6,2,8,8,6,8,A bit stressful
239,96,2,2,1,0,4,3,2,1,4,1,6,2,9,8,8,6,Not very stressful
240,1,3,1,2,0,5,3,4,5,3,2,6,2,8,7,7,7,Quite A bit stressful
241,96,3,1,2,0,5,3,3,1,3,2,6,2,8,6,8,7,A bit stressful
242,96,7,1,6,0,7,3,2,6,6,6,6,2,10,6,6,8,Not very stressful
243,96,2,1,6,0,3,1,3,7,3,6,6,2,9,9,7,10,A bit stressful
244,96,5,2,6,0,7,3,1,96,6,6,6,1,10,9,10,10,Not at all stressful
245,96,6,2,3,0,7,1,1,96,6,6,6,2,10,10,10,10,Not at all stressful
246,1,2,2,1,2,6,3,2,2,6,6,6,2,5,10,10,10,Not very stressful
247,1,6,2,3,0,5,3,4,2,1,6,6,2,5,9,7,7,Quite A bit stressful
248,4,4,1,1,2,4,3,3,2,3,2,6,2,7,9,10,9,A bit stressful
249,96,4,2,2,0,6,3,3,7,3,6,6,2,10,8,10,10,A bit stressful
250,96,2,1,6,0,3,3,4,4,3,6,6,2,8,7,6,6,Quite A bit stressful
251,96,6,2,6,0,3,3,2,6,6,6,6,1,8,6,8,8,Not very stressful
252,96,6,1,1,0,1,3,2,6,6,6,6,2,10,8,9,8,Not very stressful
253,96,7,1,1,0,3,3,3,6,6,6,6,1,9,5,9,9,A bit stressful
254,96,6,1,5,0,3,3,3,1,3,1,6,2,8,8,8,8,A bit stressful
255,96,4,1,5,2,2,3,3,1,3,2,6,2,9,9,7,8,A bit stressful
256,1,2,2,1,2,7,3,3,1,3,2,6,1,8,8,8,7,A bit stressful
257,96,4,2,1,3,4,3,3,3,3,2,6,2,10,10,10,10,A bit stressful
258,3,6,2,5,0,7,3,3,7,6,6,6,1,8,5,5,5,A bit stressful
259,96,3,1,1,1,4,3,2,1,3,1,6,2,9,8,10,8,Not very stressful
260,96,7,2,3,0,6,3,2,6,6,6,6,1,7,0,8,8,Not very stressful
261,1,1,2,6,1,7,3,3,3,6,6,6,2,8,8,9,8,A bit stressful
262,96,5,1,1,0,3,3,3,5,3,2,6,2,7,8,10,7,A bit stressful
263,3,5,2,3,0,7,1,3,3,6,6,6,2,8,7,8,7,A bit stressful
264,96,5,2,6,0,5,1,4,3,6,6,6,1,5,2,1,5,Quite A bit stressful
265,3,4,2,1,0,4,3,3,1,3,2,6,2,7,7,7,4,A bit stressful
266,96,1,2,6,0,5,3,3,6,3,6,6,2,8,5,7,6,A bit stressful
267,96,2,1,6,0,2,3,4,1,3,3,6,2,8,9,5,5,Quite A bit stressful
268,96,5,1,1,0,7,3,4,7,6,6,6,1,4,8,9,9,Quite A bit stressful
269,96,6,2,6,0,6,3,4,1,3,2,6,2,7,7,8,6,Quite A bit stressful
270,96,4,1,5,0,3,1,2,1,3,2,6,1,10,10,9,10,Not very stressful
271,96,3,2,5,0,3,3,4,7,3,1,6,2,9,9,9,9,Quite A bit stressful
272,3,3,1,1,1,2,3,4,1,4,2,6,1,8,7,10,7,Quite A bit stressful
273,96,4,1,2,1,7,1,4,3,3,1,6,1,4,5,3,5,Quite A bit stressful
274,96,6,1,1,0,2,3,2,3,6,6,6,2,10,8,8,8,Not very stressful
275,1,1,1,1,1,7,3,2,2,3,2,6,2,7,10,9,10,Not very stressful
276,96,7,2,1,0,4,3,2,3,1,6,6,2,8,7,7,6,Not very stressful
277,96,4,2,5,1,5,3,2,7,6,6,6,2,7,6,7,7,Not very stressful
278,96,7,2,3,0,7,3,9,2,6,6,6,1,5,7,8,6,Extremely stressful
279,96,6,1,1,0,4,3,2,7,3,9,6,1,10,9,10,7,Not very stressful
280,96,4,2,6,0,7,3,5,1,3,3,6,2,10,6,6,6,Extremely stressful
281,3,6,2,6,0,7,3,5,2,6,6,6,1,4,0,10,6,Extremely stressful
282,96,6,1,1,0,7,3,3,6,6,6,6,2,8,8,7,7,A bit stressful
283,96,3,2,1,2,5,3,1,96,3,1,6,2,10,10,10,10,Not at all stressful
284,96,5,1,1,0,4,3,3,1,3,2,6,2,8,8,9,7,A bit stressful
285,96,6,2,1,0,4,3,2,5,6,6,6,1,10,8,10,8,Not very stressful
286,96,4,2,2,1,5,2,3,5,3,1,6,1,9,9,10,8,A bit stressful
287,96,6,2,1,0,2,3,3,6,6,6,6,2,8,6,8,6,A bit stressful
288,96,2,1,6,0,2,3,3,2,3,6,6,2,8,6,4,5,A bit stressful
289,2,5,1,1,0,1,3,3,7,6,6,6,1,8,4,8,9,A bit stressful
290,3,2,2,1,2,5,2,3,5,3,2,6,2,7,8,6,7,A bit stressful
291,96,4,2,1,1,6,3,2,5,3,2,3,2,8,8,8,8,Not very stressful
292,96,7,1,1,0,7,3,2,3,4,6,6,2,8,7,9,7,Not very stressful
293,96,6,2,1,0,3,3,4,2,6,6,6,2,4,4,9,9,Quite A bit stressful
294,96,5,1,4,0,6,3,4,2,6,6,6,2,2,2,9,2,Quite A bit stressful
295,96,2,2,2,3,7,3,3,3,6,6,6,2,10,10,10,10,A bit stressful
296,96,6,2,5,0,6,3,3,3,6,6,6,2,5,4,7,7,A bit stressful
297,96,1,2,6,0,5,3,4,4,1,6,6,2,10,8,9,7,Quite A bit stressful
298,4,4,2,4,3,5,3,3,2,3,2,6,2,7,5,8,8,A bit stressful
299,96,1,2,6,0,7,3,3,4,2,2,6,2,9,5,5,4,A bit stressful
300,96,4,2,1,0,5,3,5,1,6,6,6,2,8,4,7,7,Extremely stressful
301,96,4,1,6,0,3,1,3,1,3,2,6,2,7,8,9,8,A bit stressful
302,96,4,1,6,0,3,3,3,2,4,6,6,2,6,8,8,6,A bit stressful
303,96,6,2,1,0,3,1,1,96,3,6,6,2,10,8,10,10,Not at all stressful
304,96,6,2,1,0,7,3,3,7,6,6,6,1,8,9,8,7,A bit stressful
305,96,4,2,3,0,4,3,3,3,3,4,6,2,7,9,3,6,A bit stressful
306,96,4,1,6,0,7,1,1,96,6,6,6,1,4,1,1,8,Not at all stressful
307,96,6,1,1,0,2,3,4,6,6,6,6,1,8,2,10,8,Quite A bit stressful
308,96,5,1,1,1,5,3,1,96,2,6,6,2,5,8,5,8,Not at all stressful
309,96,5,1,1,0,1,3,3,1,3,1,6,2,10,8,7,9,A bit stressful
310,96,3,1,1,3,2,3,3,3,3,2,6,2,7,7,7,6,A bit stressful
311,96,4,2,1,0,5,3,2,99,3,6,6,2,9,10,10,10,Not very stressful
312,96,3,1,1,0,5,3,4,7,3,2,6,2,7,5,9,9,Quite A bit stressful
313,96,3,2,6,0,2,3,3,3,3,1,6,2,8,9,8,7,A bit stressful
314,4,6,1,5,0,5,3,4,2,6,6,6,1,5,6,8,5,Quite A bit stressful
315,96,2,1,6,0,3,3,3,2,4,3,6,1,8,8,9,8,A bit stressful
